	L	M	M	J	V
CTAXTELA	1.13	1.13	1.13	1.14	1.13
AXTELCPO	3.55	3.58	3.58	3.58	3.59
KOFUBL	191.94	191.02	191.23	192.89	190.06
CMOCTEZ$	85.2	85.2	85.2	85.1	85.1
ALFAA	18.35	18.13	18.15	18.02	18.42
SIGMAFA	18.35	18.13	18.15	18.02	18.42
BBAJIOO	58.02	57	57.09	57.12	58
HOTEL$	5.25	5.3	5.3	5.25	5.25
MFRISCOA-1	20.27	18.9	18.85	20.4	20.3
PASAB	40	40	40	40	40
GFNORTEO	200.75	195.11	195.26	196.04	191.17
DIABLOI10	10.83	10.93	10.93	10.86	10.93
ALPEKA	13.99	14.46	14.47	14.23	15.01
CADUA	7.5	7.5	7.5	7.5	7.5
INVEXA	104.55	104.55	104.55	104.55	104.55
PSOTRAC15	15.2	15.2	15.2	15.2	15.2
PE&OLES$	888.94	857.65	861.75	878.03	900
BEVIDESB	25	25	25	25	25
FINAMEXO	42.55	42.55	42.55	42.55	42.55
VISTAA	1313.99	1342	1342	1342	1245.02
GIGANTE$	31.5	31.5	31.5	31.5	31.5
AGUA$	13.93	13.9	13.88	13.87	13.86
